Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
NOLAND HEALTH,374,10,1,0,0,0,0,20,80,0,2.6,2.5,4.1,2.3,4,3.3,0.7,47.4,33.3,0.2,1,0.1,14521,1452.1,0,0,27.4,15.8,1.8,2.9,41.5,76.5,83.2,2.28,1.86,19.8,3.6,6.2,4.6,1.5,17.2,11.1,97.1,94,0,7.4,5.5,0.3,24.1,10.5,30.3,0.1
NORTH COUNTRY ASSOCIATES,375,8,1,0,0,0,0,87.5,12.5,0,2.3,2,4.3,2.6,4.4,4,0.9,55.5,32.6,0.6,1,0.1,114861.5,14357.69,0,0,17.9,20.3,0.4,2.3,68.3,50.2,56.8,1.77,3.08,15.8,3.4,4.3,4.6,1.4,33,24.7,92.2,81.2,0,26.1,2.4,8,15.5,9.8,64.4,6.2
NORTH MISSISSIPPI HEALTH SERVICES,376,2,2,0,0,0,0,0,100,0,3,2.5,4,3,4.3,3.7,1,39,29.4,0,0,0,0,0,0,0,31.6,9.6,2.4,6.6,36.4,92.2,55.9,0.93,0.97,18.6,1.5,5.1,1.1,2.5,22.1,21.8,96.1,79.4,0,25.6,4.9,0.2,21.2,10.1,15.7,4.7
NORTH SHORE HEALTHCARE,377,59,4,0,0,3,5.1,100,0,0,2.6,2.7,2.9,2.6,3.4,3,0.9,45.2,42.5,0.6,46,0.8,1066165.32,18070.6,7,0.1,24.6,15.4,1.6,2.7,51.5,78.6,86.7,1.55,2.18,17.3,3.7,5.2,3.4,2,30.6,21.9,94.6,96.3,0.2,28.4,4.6,4.8,14.8,10.1,57.1,6.9
NURSING CARE MANAGEMENT OF AMERICA,379,5,2,0,0,0,0,100,0,0,3,2.4,2.6,4.8,3.7,3.2,0.6,51.2,30.7,0.8,4,0.8,89751.95,17950.39,2,0.4,18.6,16.4,1.4,1.1,44.3,82.7,90.4,1.82,1.19,5.7,3.3,3.9,0.5,0.3,13.4,10.1,96.4,98.2,0,24,6.7,13.8,25.7,9.2,39.9,2.3
O'NEILL HEALTHCARE,380,6,1,0,0,0,0,100,0,0,4.2,3.8,2,4.7,3.3,3,0.5,51.6,35.9,0.8,2,0.3,170014,28335.67,0,0,28.1,9.1,0.2,1.8,48.8,74.4,78.5,1.68,1.04,3.2,1.7,5.1,0,0.3,18.7,12,90.3,90.9,0,18.2,6.6,22.2,23.6,10.7,15.9,
OAKBEND MEDICAL CENTER,579,11,1,0,1,0,0,63.6,9.1,27.3,2.5,2.9,1.9,3.5,3.5,3.1,0.5,52.2,42.9,1.1,18,1.6,567841.14,51621.92,2,0.2,28.6,13.2,1.2,3,44.2,94.7,86.4,2.16,2.6,7.4,2.3,8.7,0.7,1,15.8,14.9,99.2,92.6,0.1,15.4,3.8,5,26.3,10.4,29.8,8.4
OCEAN HEALTHCARE,381,11,1,0,0,1,9.1,100,0,0,2.9,2.7,2.4,4,3.3,2.9,0.4,41.1,38.8,0.5,7,0.6,168265.36,15296.85,0,0,27.7,8.6,0.9,3.6,60.8,78.4,76.3,1.85,1.1,7.4,3,4.9,1.8,1.5,23.3,17.5,97.9,92.1,0.1,19.7,6.6,4.1,14.6,11.1,42.2,3.6
OHANA PACIFIC MANAGEMENT CO.,382,6,1,0,0,0,0,100,0,0,3.8,3.3,4.2,3.8,4.3,3.8,1.5,35.2,31.2,0.3,3,0.5,92455.35,15409.22,1,0.2,18.1,17.2,0.1,1.8,52.3,82.1,84.5,0.92,1.72,10.8,4.8,7.2,3.3,1.4,28.8,20.4,98.2,98.2,0,18.8,4.4,0.1,6.1,9.7,48.5,23.7
OHIO LIVING COMMUNITIES,383,11,1,0,0,0,0,9.1,90.9,0,4.7,4.3,3.8,4.8,4.8,4.3,0.9,47.1,36.2,0.4,1,0.1,14679.6,1334.51,1,0.1,25.7,14,0.8,2.2,65,80.1,88.5,1.3,1.31,10.4,4.8,2.6,1.6,0.3,15.3,8.6,92,95.5,0,22.3,4,12.6,17.9,11,43.5,3.6
"OKLAHOMA NURSING HOMES, LTD.",384,6,1,0,0,0,0,100,0,0,2.3,2.7,2.5,2.3,4,3.6,0.5,47.9,48.8,0.7,24,4,219061.71,36510.29,1,0.2,33.9,13.5,5.4,4.1,56.4,64.6,76.1,2.35,2.45,12.9,6.8,3.6,2.9,2.3,17.1,16.9,93.7,94.7,0,18.7,5.8,3,31.8,11.1,33.9,14.6
ONYX HEALTH,385,6,1,0,0,0,0,100,0,0,3.8,3.2,3.7,4.7,3.6,3.4,1,31.5,41.2,0.7,1,0.2,13663,2277.17,0,0,28,5.1,1.7,1,50.1,98.1,99,2.44,0.46,5.8,1.2,4.3,0,0.7,4.8,6.3,100,100,0,2.2,5.1,3.8,14.4,9.8,47.6,11.7
OPIS SENIOR SERVICES GROUP,574,10,1,0,0,1,10,100,0,0,2.9,2.9,2.5,3.4,3.4,3.2,0.5,53,45.7,1.1,8,0.8,135736.15,13573.62,1,0.1,26,8.9,2.1,4.3,46.1,93.4,87,1.62,1.04,15.9,2.8,7.1,0,0.2,16.2,12.4,99.9,95.6,0,23.3,8.5,3.1,25.5,10.8,49.8,35.9
OPTALIS HEALTH & REHABILITATION,601,29,2,0,0,4,13.8,96.6,3.4,0,2.2,1.9,2,4.3,3.7,3.4,0.6,55,51.1,1.1,47,1.6,1933701.94,66679.38,16,0.6,28.3,8.7,1.4,2.2,59.3,86.4,92.4,1.65,1.16,11.1,3.2,6.7,1.4,0.4,15.7,9.4,95.2,98,0,25.5,6.7,18.5,18.5,11,36.3,8.2
OPTIMA CARE,386,6,2,0,0,0,0,100,0,0,3.3,2.7,4,4.8,3.8,3.4,0.8,35.7,30.8,0,17,2.8,574593.15,95765.53,1,0.2,19.3,5.5,0.7,1.8,67.3,84.1,88.2,1.55,0.49,8.7,1.4,5.7,1.1,0.6,20.2,18.9,98.5,98.3,0,16.3,3.1,6.9,13.7,10.7,31.1,4.1
OPTIMUM HEALTHCARE MANAGEMENT,387,8,1,0,0,1,12.5,87.5,0,12.5,2,2.6,1.1,3.3,3.2,2.7,0.3,67.1,64.6,1.3,6,0.8,283024.94,35378.12,0,0,26.3,12.6,1.2,1.6,52,83.7,83.7,2.04,1.82,8.5,2.2,5,0.3,0.4,28.6,27.4,98.5,96.2,0,23.3,4.3,4.3,23.7,10.7,19.1,3.1
OSBYCORP,388,2,2,0,0,0,0,100,0,0,3,3,2.5,4.5,3.8,3.3,0.8,55.2,,0,1,0.5,10119.6,5059.8,0,0,,,,,,,90.5,0.8,1.26,18.1,7.2,2.3,4.8,4.2,7.6,16.7,100,97.2,0,19.7,4.1,9.1,13.3,9.6,67.3,12.2
OTTERBEIN SENIORLIFE,389,16,2,0,0,0,0,6.3,93.8,0,3.3,2.9,3.7,4.4,4.3,4,0.8,50.8,50.4,0.3,5,0.3,58914.25,3682.14,2,0.1,27.2,12.4,1.2,2.1,50.5,84.9,92.3,1.47,1.79,11,5.2,3.5,0.3,0.1,8.8,5.8,97.5,99,0,25.7,7.7,7.9,27.8,10.4,25.9,5.8
P&M MANAGEMENT,655,5,1,0,0,2,40,100,0,0,2.6,2.6,2,3.4,4.2,3.8,0.3,56.7,59,0.6,3,0.6,64899.75,12979.95,0,0,22.2,10.9,4.1,1,56.1,97.2,99,2.93,1.93,15.4,1.7,6.9,0.7,2,18.3,13,99.8,99.9,0.1,7.2,2.5,12.2,25.1,10.7,50.1,36.9
PACIFIC RETIREMENT SERVICES,391,10,5,0,0,0,0,0,100,0,4.5,4.2,4.2,4.3,5.6,5,1.3,44.9,37.8,0.3,5,0.5,69115.25,6911.53,1,0.1,18,9.2,0.7,2.2,61.2,92,97.7,1.43,1.04,10.4,3,6.3,1.5,2.4,24.3,18.6,98.2,99.1,0,23.4,8.5,2.8,3.8,9.5,65.2,21
PACS GROUP,690,192,11,2,5,21,10.9,99.5,0.5,0,2.8,2.6,2.1,4.1,3.9,3.5,0.5,49.5,48.5,0.6,193,1,4808579.1,25044.68,45,0.2,24.4,13.7,1.4,1.5,51.9,90.8,93.2,1.86,1.67,10.1,1.8,5.1,0.7,0.6,14,9.8,97.3,97.9,0.1,15,3.6,15.5,14.6,10.5,38.4,9.8
PALLADIAN HEALTHCARE,393,6,2,0,0,1,16.7,100,0,0,1.7,2,1.2,2.5,2.6,2.4,0.3,51.7,50.6,0.5,20,3.3,673922.63,112320.44,3,0.5,26.7,18.6,0,1.4,41.4,62,56.5,2.08,2.35,18.1,4.3,3.3,2.2,0.9,29.1,20.8,86.6,85.3,0.1,22.1,9.5,1.2,19.2,11.4,33.1,5.2
PALM GARDEN HEALTH AND REHABILITATION CENTER,394,14,1,0,0,1,7.1,100,0,0,2.4,2.2,3,3.8,3.6,3.3,0.5,47.2,47.3,0.5,10,0.7,216253.3,15446.66,0,0,28.9,9.3,0.9,1.2,47.3,94,95.9,2.2,1.3,3.8,2.7,4.8,1.1,0.9,22.2,14.1,99.6,99.6,0,18.5,7.2,0.5,18,11.4,24.9,5
PARADIGM HEALTHCARE,620,10,1,1,1,2,20,100,0,0,1.7,1.7,1.3,4,3.2,2.7,0.3,52.3,64.1,0.8,22,2.2,994817.45,99481.75,2,0.2,25.9,9,2.3,2.2,55.6,100,99.8,2.25,1.99,10.6,2,6.3,0.7,0,12.5,16.9,100,99.7,0,17.6,6.9,1.9,24.8,10.5,23.2,0
PARADIGM SENIOR MANAGEMENT,623,6,1,0,0,0,0,100,0,0,3.5,4.7,1.2,2,3,2.5,0.3,60.8,53.3,0.7,1,0.2,5282.88,880.48,0,0,27.9,16.6,6.1,2.7,63.1,38.4,26.6,1.48,2.75,36.3,5.2,6.2,4,2.4,27.2,21.5,89.5,59.6,0,9.4,10.6,4.7,20.5,10.7,45.6,0.9
PARAGON HEALTHNET,395,11,1,0,0,0,0,100,0,0,4.5,4.4,2.4,4.2,3.9,3.4,0.7,33.5,38.6,0.5,0,0,0,0,0,0,19.4,7.1,1.7,1.9,58.2,90.2,92.3,1.51,1.04,13,2.1,8.3,0.5,0.4,20.2,19,96.6,96.4,0.1,10.9,5.3,46.1,17.4,10.3,36.7,1.8
PARAMOUNT HEALTHCARE CONSULTANTS,396,16,2,0,0,1,6.3,93.8,0,6.3,1.6,2.2,2.1,1.6,3.5,3.1,0.2,54,59.7,0.4,17,1.1,607120.25,37945.02,3,0.2,30.4,17.8,6.8,3.3,52,58.8,64.7,2.81,3.34,25.2,4.2,8.3,2.6,2.5,35.6,28.3,92.9,86.8,0,16,4.7,2.1,21.3,11.9,34.8,1.4
PAVILION HEALTHCARE,612,5,1,0,0,2,40,100,0,0,2.8,3,2,3,3.1,2.8,0.6,35.6,26.9,0,14,2.8,509517.96,101903.59,4,0.8,24.2,12.7,2.2,2.1,43.6,51.5,44.7,1.88,2.26,17,1.3,5.5,0.2,1.1,15.5,11.3,93.2,84.7,0,21.2,5.7,86,13.7,10.6,10.8,4
PEACH HEALTH GROUP,604,10,1,0,0,1,10,100,0,0,1.5,2,1.3,2.6,2.9,2.6,0.3,53.5,58,0.8,28,2.8,423963.51,42396.35,0,0,22.1,10.1,1,3.2,55.2,60.8,62.3,2.07,2.48,23.2,2.8,7.7,2.2,1.9,15.7,18.8,90.8,78.6,0.2,13.1,6.3,3.1,23.4,10.9,56.4,0.9
"PEAK RESOURCES, INC.",397,8,1,0,0,1,12.5,100,0,0,3.3,3.3,2.4,3.1,3.3,3,0.5,48.7,44,0.5,5,0.6,148024.5,18503.06,2,0.3,21.5,12.3,0.7,2.8,52.2,89.6,93.4,1.78,1.87,15.3,3.9,6.1,2.2,0.3,31.7,20.5,97.6,96.2,0,19.2,10.5,3.3,22,11.8,34.1,5
PEARL HEALTHCARE,595,13,1,0,1,2,15.4,100,0,0,2.4,2.5,1.6,3.5,3.2,2.8,0.8,52,52.2,0.5,27,2.1,814673.68,62667.21,4,0.3,26.5,13.2,2.2,2.1,46.2,49.5,54.7,1.81,1.54,16.9,2.5,6.2,1.1,0.5,11.6,8.1,87.9,79.1,0,21.3,6.9,74.1,13.5,10.6,48.5,22.6
PERSONAL HEALTHCARE MANAGEMENT,677,5,1,0,0,2,40,100,0,0,2.2,2.2,3.4,3.2,3.2,2.7,0.6,47,34.7,0.3,12,2.4,170586.82,34117.36,0,0,22.4,18.6,0,3.9,53.3,77.7,81.1,1.55,1.83,14,2.6,8.8,1.3,0.8,21.3,20.4,97.6,97.7,0,28.1,8.1,3.5,16.8,10.4,44.2,6.5
"PERSONAL HEALTHCARE, LLC",398,14,2,0,1,1,7.1,100,0,0,1.8,1.9,2.9,3.2,3.4,2.9,0.5,51.2,46.4,0.2,16,1.1,551165.08,39368.93,2,0.1,21.9,12.1,0.9,2.4,49.7,76.1,73.1,1.98,1.78,14.7,3.4,6.7,1,0.9,20.9,17.5,92.9,93.8,0.2,20.2,7.5,8.6,16.9,10.1,64.5,19.7
PETERSEN HEALTH CARE,399,54,2,2,4,23,42.6,100,0,0,1.3,1.8,1.5,1.9,3.2,2.8,0.5,51.5,59.8,0.9,129,2.4,9456144.05,175113.78,94,1.7,27.3,26,2,1.6,37,57,62.5,2.2,3.12,28.2,4.2,5.1,2.1,2,30.4,24.5,89.6,84.5,0.1,19.6,4.2,17.4,28.1,10.7,39.9,4
PHILIPSON FAMILY,656,8,4,0,0,0,0,87.5,0,12.5,3.1,3,2.9,3.5,4.1,3.5,0.9,49.2,46.2,0.5,20,2.5,200332.88,25041.61,2,0.3,26.6,12.6,1.6,3.5,42.5,77.3,82.4,2.59,1.64,10.9,2.4,5.2,0.5,0.7,11.1,8,98.3,95.3,0,15.2,6.3,12.6,19,10.3,30.4,4.2
PHILOSOPHY CARE CENTERS,400,4,2,0,0,0,0,100,0,0,2.3,2,2.5,3.3,3.9,3.6,0.6,33.8,38.7,0.3,5,1.3,323510.25,80877.56,1,0.3,24.9,11.8,1.6,1.6,55,62,49.5,2.24,1.62,10.3,2.1,8.2,1.3,0.5,21.6,18.8,91.7,82.3,0.3,14.9,5.8,24,19.6,10.2,20,0.4
PHOENIX HEALTHCARE,401,6,1,0,0,0,0,100,0,0,2.8,3.2,3,2,4.1,3.9,0.3,49.8,57.5,1.6,3,0.5,22034.18,3672.36,1,0.2,31.5,20.7,2.8,3.9,48.6,66.6,64.2,2.74,2.09,20.1,4.3,3.5,5.3,1.3,21.2,18.1,95.1,86.3,0,18.8,7.1,1.8,15.8,10.5,46.4,27.3
PHOENIX SENIOR LIVING,402,2,2,0,0,0,0,100,0,0,2.5,3,2,3,3.8,3.6,0.3,50,37.5,0,1,0.5,12932.67,6466.34,1,0.5,28.8,12.5,2,1.7,57.3,58.2,78.9,1.57,1.4,16.5,4.7,9.4,1.6,1.6,27.6,16.6,96.1,87.8,0,17.4,10.2,2.8,28.8,11.1,26.5,
PIEDMONT REGIONAL HEALTH,575,5,1,0,0,0,0,0,100,0,4.6,4.4,3.6,3.6,3.6,3.2,0.6,51.9,28.1,0.2,1,0.2,6201,1240.2,0,0,26.4,10.1,0.9,4.1,36.6,86.1,92.5,1.46,1.2,29.4,3.4,6.1,1.4,1.2,11,11.3,99.3,99.6,0,10.7,6.8,5,26.2,10.8,40.9,2.2
PIONEER HEALTHCARE MANAGEMENT,403,9,1,0,1,2,22.2,100,0,0,2.3,2.3,2.6,3.5,3.3,3,0.5,54.6,48.3,0.9,10,1.1,215030.74,23892.3,9,1,34.4,9.8,0.9,0.8,65.4,58.8,56.5,2.52,2.62,28.1,1.9,6.5,1.1,0.7,10.6,12.6,90.4,85.9,0,11.9,5.4,1.9,26.9,12,30,1.4
PIVOTAL HEALTH CARE,404,8,3,0,0,0,0,100,0,0,4,3.3,4.5,3.9,4.4,3.9,1.1,56.6,38.9,0.3,5,0.6,100509.64,12563.71,1,0.1,24.8,17.1,0.7,0.6,69.1,83.9,92.4,1.65,1.13,7.3,6.1,5.5,3.7,1.2,29.2,23,95.6,97.4,0,29.9,4.3,0.8,11.8,10,41.4,13.2
PLAINVIEW HEALTHCARE PARTNERS,657,5,2,0,0,2,40,100,0,0,1.8,1.8,1.8,3.2,3.8,3.4,0.7,70.6,76.5,1.3,10,2,441205.49,88241.1,4,0.8,29.9,15.8,1.6,2,36.9,73.4,83.1,1.72,1.94,10.3,2.7,5,1.4,1.1,24.2,15.9,95.5,92.1,0,21,5.9,1.4,26.3,10.7,38.1,27.8
PLANTATION MANAGEMENT COMPANY,406,16,1,0,0,3,18.8,100,0,0,1.4,2.3,1.5,1.7,3.3,2.9,0.1,49.1,45,0.1,20,1.3,712817.75,44551.11,4,0.3,33.6,15.8,2.6,6,37.8,79.1,83.9,2.75,2.31,19.3,3.3,7.1,2.3,1.5,22.4,16.1,92.8,94,0,15.5,4.7,0.4,21,10.8,28.4,1.6
POLLAK HOLDINGS,408,5,1,0,2,2,40,100,0,0,1.4,1.2,2.6,3.2,3.2,2.9,0.7,53.8,43.7,1.3,14,2.8,642012.31,128402.46,3,0.6,17.3,11.4,4.6,0.4,52.5,29,34.3,1.76,1.34,19.2,1.5,7.3,1,1.2,26.7,20.8,81.1,70.9,0,27.6,7.8,2.1,17.7,11.5,50,80.1
PREFERRED CARE,409,15,2,0,0,0,0,100,0,0,3.4,2.9,3.1,4,3.9,3.4,0.7,50.9,43.1,0.4,12,0.8,412765.87,27517.72,3,0.2,28.4,11.3,0.9,1.7,64.2,91,94.2,2.06,1.16,11.9,2.9,5.1,1.1,0.8,11.2,9,98.9,99.1,0,19.8,5,6.4,18.2,10.9,45.1,2.5
PREMIER HEALTHCARE OF ILLINOIS,410,3,2,0,0,0,0,100,0,0,1,1.7,1,1.3,3.1,2.8,0.6,69.1,68.9,2,9,3,216152.37,72050.79,2,0.7,27.5,16.9,1.8,1.7,31.2,67.9,83.3,3.26,2.53,20.8,4,5.6,0.4,0.8,22.9,27,95.9,92.9,0,26.9,4.2,83.8,19.4,10.5,35.3,1.4
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,411,5,1,0,0,0,0,0,100,0,5,4.4,4.2,4.6,5.5,4.7,1.5,51.3,49,0.4,0,0,0,0,0,0,24.9,14.1,1,1.7,84.5,94.7,99.5,1.87,0.33,3.2,11.3,4.9,5.1,0,9.3,11.5,,100,0,10.6,0,0,39.4,10.5,26.7,0.6
PRESBYTERIAN HOMES & SERVICES,412,22,3,0,0,0,0,9.1,90.9,0,4,3.5,4.7,2.7,4.5,4.1,1.2,38.2,33.9,0.4,7,0.3,133691.75,6076.9,3,0.1,21.8,10.8,1.6,3.7,56.4,85.2,89.4,1.34,1.13,16.6,5.1,7,3.5,3.2,31.6,22.3,86.1,98.2,0,30.3,3.2,3.5,12.5,9.9,59.5,4.3
PRESBYTERIAN MANORS OF MID-AMERICA,413,13,2,0,0,1,7.7,15.4,84.6,0,3.5,3.4,4.5,2.4,4.8,4.3,0.9,51.4,37.5,0.2,13,1,231044.1,17772.62,4,0.3,21.1,14,1.6,3.1,58.8,59.5,70.3,1.57,2.54,11.5,7.3,5.1,5.2,2.9,25.4,23.5,92.4,90.7,0,31.3,6.3,4,23.4,9.5,52.1,2.7
PRESBYTERIAN SENIOR LIVING,415,12,3,0,0,1,8.3,0,100,0,3.3,3.2,3.9,2.8,3.9,3.5,0.9,40.9,40.2,0.6,6,0.5,265611.85,22134.32,0,0,28,10.2,1.1,3.1,56.2,65.6,64.3,1.79,1.36,13.5,3.9,5,1.8,1.4,33.9,25.8,86.6,81.7,0,32.9,8,3.7,19.8,10.8,46.6,13.1
PRESTIGE ADMINISTRATIVE SERVICES,416,10,3,0,0,2,20,100,0,0,1.9,2.2,2.1,2.9,3.6,3.1,0.5,54.3,53.9,0.4,9,0.9,305391.55,30539.16,1,0.1,23.2,11.6,1.9,3.4,47.4,73.1,66,1.71,2.21,14.2,2.4,6.5,1.6,0.9,26.9,20.7,97.8,88.6,0,21.1,8.1,2.8,30.2,11.1,39.1,0.5
PRESTIGE CARE,417,30,5,0,0,8,26.7,100,0,0,2.6,2.6,3.1,3.2,4.5,3.9,0.6,51.3,55.9,1.2,46,1.5,1663174.37,55439.15,5,0.2,23.1,15.8,1.6,1.7,51.8,84.6,93.6,1.28,1.94,12.8,2,6.4,1.4,1.8,34.1,18.6,93.2,99.1,0,24.1,3.3,4.6,13.6,9.7,34.9,4
PRESTIGE CARE CENTER,602,4,2,0,1,0,0,100,0,0,1.5,1.3,1.3,3,3.2,3.2,0.3,63.5,66.9,2,7,1.8,307300.5,76825.13,4,1,15.5,20.1,5.8,2.6,39.3,69.2,64.9,1.67,2.45,29.6,3,3.5,0.7,0.5,21.5,18.3,94.4,81.3,0,25.1,6,2.9,21.2,10.4,63.8,33
PRESTIGE HEALTHCARE ADMINISTRATIVE SERVICES,418,12,3,1,1,1,8.3,100,0,0,3.5,3.2,3.4,4,3.7,3.5,0.7,50.3,40.4,0.8,22,1.8,991878.54,82656.55,5,0.4,24.5,10,1.4,1.7,59,63,51,1.78,1.22,16.9,3,6,0.9,0.3,16.2,13.1,94.7,72.7,0,24.9,7.2,10.9,20.2,10.9,49.9,3.4
PRESTON HEALTH SERVICES,702,5,1,0,0,0,0,100,0,0,3.4,3.4,3.4,2.4,4,3.2,0.6,48.6,45.1,0,0,0,0,0,0,0,27.3,16,1.7,4.5,44.1,92.8,97.5,1.74,1.25,22.2,2.7,4.6,5.2,2.1,20.6,14.9,98.3,98.5,0,15.2,5.4,0.3,29.2,10.4,27.3,1.1
PRIME HEALTH CARE ENTERPRISES,419,5,1,0,0,0,0,100,0,0,3.8,3.8,4.4,2,4.4,3.8,0.6,35.9,32.5,0,2,0.4,26897.96,5379.59,0,0,26,14.2,2.7,1.5,13,70.5,64.6,1.9,2.94,24.9,3.2,6.8,2.4,2.1,20.5,15,90.8,89,0,9.8,7.9,0.5,18.4,10.3,50.8,7.5
PRIME HEALTHCARE,420,4,2,0,0,0,0,100,0,0,4,3.3,3.5,4.5,8.4,7.5,2.6,21.9,20.7,0,2,0.5,35475,8868.75,1,0.3,,,,,,,30.4,1.77,0.88,6.9,0,11.2,4,10.4,13.9,9.3,100,97.5,1.6,2.1,3.1,3,24.5,,59.9,27.9
PRIME HEALTHCARE MANAGEMENT,421,11,1,0,0,1,9.1,100,0,0,1.6,2.2,1.3,2.8,2.8,2.4,0.5,62,53.8,0.5,8,0.7,81719.5,7429.05,7,0.6,25,10.3,0.9,5.8,53.3,71.8,83.5,1.98,1.96,20.6,4.4,5.7,4.1,2.3,16.4,16.9,93.6,94.7,0,16.6,9,10.3,24.8,10.5,6.5,0
PRINCIPLE LONG TERM CARE,423,44,3,0,0,7,15.9,100,0,0,2.6,2.6,2.8,2.9,3.5,3.1,0.6,51.6,42.2,0.9,46,1,1449137.14,32934.94,11,0.3,24.2,14.2,1.4,3.8,46.1,75.7,78.5,1.83,1.99,12.1,3.5,6.6,1.9,0.7,22.1,15.6,93.2,92.5,0,7.8,6.7,1.6,24.5,10.7,36.7,2.2
PRIORITY HEALTHCARE GROUP,424,22,4,1,1,3,13.6,100,0,0,2.4,2.3,2.7,2.7,3.2,2.9,0.6,53.1,45.7,0.3,47,2.1,1337566.41,60798.47,5,0.2,23.3,11.6,2,3.9,45.7,66.1,69.1,1.69,1.39,22.3,3.4,6,2.4,1.4,22.5,19.2,93,90.9,0,26,7,3,21.1,10.4,41.3,5.1
PRIORITY MANAGEMENT,425,31,2,0,0,2,6.5,96.8,0,3.2,2.3,2.8,1.5,2.7,3.4,2.9,0.3,54.5,50.7,0.4,42,1.4,1059145.81,34165.99,2,0.1,26.3,13.8,2.4,2.5,43.4,90.7,95.2,2.45,2.11,9.9,3.6,5.7,0.1,0.2,23.1,21.3,98.8,98.9,0,18.9,4.2,10.2,19.5,11.2,32.8,3
PROGRESSIVE HEALTH CARE CENTERS,426,6,1,0,0,0,0,100,0,0,2.8,2.7,2.5,3.8,4,3.7,0.3,41.8,45.5,0.3,2,0.3,40378,6729.67,1,0.2,24.4,11.6,2.1,5.1,47.2,99.8,97.8,2.24,1.19,8.2,1.8,6.4,1.5,3,21.2,16.7,99.5,97.7,0,9,4.8,0.2,12.7,10,39.9,14.6
PROGRESSIVE QUALITY CARE,427,10,1,0,0,2,20,100,0,0,2.3,2,2.3,4,3.5,3.2,0.6,51.7,41.7,0.6,10,1,296401.42,29640.14,3,0.3,29.6,15.3,1.4,2.7,49.2,83.3,82.5,1.84,1.68,10.7,2.8,4.9,0.4,0,8.9,7.1,95.6,94.6,0,23.2,4.1,10.5,19.4,10.9,27.9,11.4
PROMONTORY HEALTHCARE,428,3,2,0,0,0,0,100,0,0,3.3,3.3,3.7,3.3,4.9,4.4,1.5,,,,0,0,0,0,0,0,26.2,12.8,0.8,2.6,59.2,81.1,91.7,1.57,2.79,29,12.5,2,6.5,19.8,34.7,31,,100,0,33.8,10.3,0,10,8.3,22,13.3
PROVIDENCE HEALTH & SERVICES,430,12,4,0,0,2,16.7,0,100,0,2.9,2.4,3.8,3.7,6.3,5.7,1.8,44.8,39.3,0.4,18,1.5,698237.36,58186.45,2,0.2,20,12.8,1,2,43.3,86.3,80.6,1.41,1.15,11.3,1.2,10.1,2.9,3.7,28.2,18,93,91.1,2,18.4,5,4.1,16.4,9.3,47.3,19.4
PROVIDENCE HEALTH GROUP,431,4,3,0,0,0,0,100,0,0,2.5,2.8,3.5,2.3,4.1,3.7,0.6,47.7,47.5,0.5,2,0.5,90857.85,22714.46,2,0.5,31.2,17.8,0.6,3.4,41.1,91.9,87.6,2.81,2.9,11,5.3,5.9,1.4,0.2,26.1,14.1,98.1,99,0,19.8,9.3,4,43.5,10.3,51.5,2.2
